# $Id$
# PcbXY Version 1.0
# Date: Wed Jan 28 23:52:37 2009 UTC
# Author: Luke Orland
# Title: bien sucia - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
H3,"A31_screwhole","unknown",3000.00,2800.00,0,top
H3,"A31_screwhole","unknown",1300.00,4800.00,0,top
H3,"A31_screwhole","unknown",4260.00,1720.00,0,top
(unknown),"pin.fp","unknown",4100.00,4300.00,0,top
(unknown),"pin.fp","unknown",4100.00,4200.00,0,top
(unknown),"pin.fp","unknown",4100.00,4400.00,0,top
(unknown),"pin.fp","unknown",4100.00,4500.00,0,top
(unknown),"pin.fp","unknown",4100.00,5200.00,0,top
(unknown),"pin.fp","unknown",4100.00,5300.00,0,top
(unknown),"pin.fp","unknown",4100.00,5400.00,0,top
(unknown),"pin.fp","unknown",4100.00,4900.00,0,top
(unknown),"pin.fp","unknown",4100.00,4800.00,0,top
(unknown),"pin.fp","unknown",4100.00,5000.00,0,top
(unknown),"pin.fp","unknown",4100.00,5100.00,0,top
(unknown),"pin.fp","unknown",4100.00,4100.00,0,top
(unknown),"pin.fp","unknown",4100.00,4000.00,0,top
(unknown),"pin.fp","unknown",4100.00,3900.00,0,top
(unknown),"pin.fp","unknown",4000.00,4600.00,0,top
(unknown),"pin.fp","unknown",3900.00,4600.00,0,top
(unknown),"pin.fp","unknown",3800.00,4600.00,0,top
(unknown),"pin.fp","unknown",3700.00,4600.00,0,top
(unknown),"pin.fp","unknown",3600.00,4600.00,0,top
(unknown),"pin.fp","unknown",3500.00,4600.00,0,top
(unknown),"pin.fp","unknown",3400.00,4600.00,0,top
(unknown),"pin.fp","unknown",4000.00,4700.00,0,top
(unknown),"pin.fp","unknown",3900.00,4700.00,0,top
(unknown),"pin.fp","unknown",3800.00,4700.00,0,top
(unknown),"pin.fp","unknown",3700.00,4700.00,0,top
(unknown),"pin.fp","unknown",3600.00,4700.00,0,top
(unknown),"pin.fp","unknown",3500.00,4700.00,0,top
(unknown),"pin.fp","unknown",3400.00,4700.00,0,top
(unknown),"pin.fp","unknown",4000.00,4300.00,0,top
(unknown),"pin.fp","unknown",3900.00,4300.00,0,top
(unknown),"pin.fp","unknown",3800.00,4300.00,0,top
(unknown),"pin.fp","unknown",3700.00,4300.00,0,top
(unknown),"pin.fp","unknown",3600.00,4300.00,0,top
(unknown),"pin.fp","unknown",3500.00,4300.00,0,top
(unknown),"pin.fp","unknown",3400.00,4300.00,0,top
(unknown),"pin.fp","unknown",4000.00,4200.00,0,top
